age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,27642.9,NO,1,YES,NO,NO,NO,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,30067.5,NO,1,NO,YES,YES,NO,YES
'\'(50.666667-inf)\'',MALE,INNER_CITY,29714.4,YES,0,YES,NO,YES,YES,YES
'\'(-inf-34.333333]\'',FEMALE,TOWN,13950.4,NO,1,YES,YES,YES,YES,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,10072.6,YES,0,NO,NO,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,37850.6,NO,1,NO,YES,YES,NO,YES
'\'(50.666667-inf)\'',FEMALE,RURAL,57176.4,NO,2,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,38784,YES,0,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,10191.8,YES,0,NO,YES,YES,YES,YES
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,21821.4,YES,1,YES,YES,NO,YES,YES
'\'(34.333333-50.666667]\'',MALE,RURAL,37389,YES,2,NO,YES,YES,NO,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,14627.9,YES,2,YES,YES,YES,NO,NO
'\'(50.666667-inf)\'',MALE,SUBURBAN,48770.5,YES,1,YES,YES,NO,YES,YES
'\'(34.333333-50.666667]\'',MALE,RURAL,21096.2,YES,1,YES,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,36256.9,NO,0,NO,NO,YES,YES,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,15281.8,NO,0,YES,NO,NO,YES,YES
'\'(-inf-34.333333]\'',MALE,SUBURBAN,9316.98,YES,2,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,RURAL,20736.2,YES,1,YES,YES,YES,NO,YES
'\'(50.666667-inf)\'',FEMALE,TOWN,52662.5,YES,1,YES,YES,YES,YES,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,8020.19,YES,1,YES,NO,YES,NO,NO
'\'(50.666667-inf)\'',MALE,SUBURBAN,32245.4,YES,3,NO,NO,NO,NO,NO
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,41107.2,YES,2,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,SUBURBAN,39358.3,YES,0,YES,NO,NO,YES,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,36095.9,YES,3,YES,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,TOWN,7723.93,YES,2,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,RURAL,18565.8,YES,1,YES,YES,YES,YES,YES
'\'(34.333333-50.666667]\'',MALE,RURAL,25132.9,YES,0,NO,NO,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,SUBURBAN,31290.6,YES,0,NO,YES,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,SUBURBAN,24858.4,YES,0,NO,NO,YES,YES,YES
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,16398.8,NO,1,NO,YES,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,SUBURBAN,23287.9,NO,0,NO,NO,YES,YES,YES
'\'(50.666667-inf)\'',FEMALE,RURAL,50897.6,YES,0,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,22446.5,NO,1,NO,NO,YES,YES,YES
'\'(34.333333-50.666667]\'',MALE,SUBURBAN,23092.1,YES,0,YES,NO,YES,YES,YES
'\'(-inf-34.333333]\'',MALE,TOWN,24867.6,YES,0,YES,YES,NO,NO,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,22234.7,YES,0,NO,NO,YES,YES,NO
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,17371.1,YES,2,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,29574,YES,0,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,17944.2,NO,1,YES,YES,YES,YES,YES
'\'(34.333333-50.666667]\'',FEMALE,RURAL,33665.5,NO,3,YES,NO,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,36166.2,YES,0,NO,NO,NO,NO,NO
'\'(-inf-34.333333]\'',FEMALE,SUBURBAN,27712.9,NO,2,NO,YES,YES,NO,YES
'\'(34.333333-50.666667]\'',MALE,TOWN,22400.7,YES,2,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,28469.9,YES,0,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,30488,YES,0,NO,YES,YES,YES,NO
'\'(-inf-34.333333]\'',FEMALE,TOWN,19160.3,YES,1,YES,YES,YES,NO,YES
'\'(50.666667-inf)\'',MALE,TOWN,45342.5,YES,0,YES,YES,NO,NO,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,6294.21,NO,0,NO,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,25127.7,YES,0,YES,NO,NO,NO,NO
'\'(50.666667-inf)\'',MALE,SUBURBAN,51879.3,YES,2,YES,YES,NO,YES,YES
'\'(-inf-34.333333]\'',MALE,TOWN,12644.9,YES,2,YES,NO,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,21984.4,NO,3,NO,YES,NO,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,RURAL,29093.1,NO,2,YES,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,TOWN,23528.4,YES,1,NO,YES,YES,YES,YES
'\'(-inf-34.333333]\'',MALE,TOWN,9516.91,NO,3,YES,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,18364.9,YES,1,NO,NO,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,TOWN,31273.8,NO,1,YES,YES,NO,NO,YES
'\'(50.666667-inf)\'',MALE,RURAL,49673.6,YES,0,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,SUBURBAN,12623.4,YES,1,YES,YES,YES,NO,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,23818.6,YES,0,NO,NO,NO,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,31473.9,NO,2,NO,YES,YES,YES,YES
'\'(34.333333-50.666667]\'',MALE,TOWN,20268,YES,0,NO,YES,YES,NO,NO
'\'(50.666667-inf)\'',MALE,SUBURBAN,51417,YES,2,NO,YES,YES,NO,YES
'\'(50.666667-inf)\'',FEMALE,RURAL,30971.8,YES,3,YES,YES,YES,YES,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,47025,NO,2,YES,YES,YES,YES,NO
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,9672.25,YES,0,YES,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,TOWN,15976.3,YES,0,YES,YES,NO,NO,YES
'\'(-inf-34.333333]\'',MALE,INNER_CITY,14711.8,YES,0,NO,YES,NO,YES,NO
'\'(34.333333-50.666667]\'',MALE,TOWN,26671.6,NO,0,YES,NO,YES,YES,YES
